rule,string,count
1024,0000000000100000,1
1025,1000000000100000,2
1026,0100000000100000,2
1027,1100000000100000,3
1028,0010000000100000,2
1029,1010000000100000,3
1030,0110000000100000,3
1031,1110000000100000,4
1032,0001000000100000,2
1033,1001000000100000,3
1034,0101000000100000,3
1035,1101000000100000,4
1036,0011000000100000,3
1037,1011000000100000,4
1038,0111000000100000,4
1039,1111000000100000,5
1040,0000100000100000,2
1041,1000100000100000,3
1042,0100100000100000,3
1043,1100100000100000,4
1044,0010100000100000,3
1045,1010100000100000,4
1046,0110100000100000,4
1047,1110100000100000,5
1048,0001100000100000,3
1049,1001100000100000,4
1050,0101100000100000,4
1051,1101100000100000,5
1052,0011100000100000,4
1053,1011100000100000,5
1054,0111100000100000,5
1055,1111100000100000,6
1056,0000010000100000,2
1057,1000010000100000,3
1058,0100010000100000,3
1059,1100010000100000,4
1060,0010010000100000,3
1061,1010010000100000,4
1062,0110010000100000,4
1063,1110010000100000,5
1064,0001010000100000,3
1065,1001010000100000,4
1066,0101010000100000,4
1067,1101010000100000,5
1068,0011010000100000,4
1069,1011010000100000,5
1070,0111010000100000,5
1071,1111010000100000,6
1072,0000110000100000,3
1073,1000110000100000,4
1074,0100110000100000,4
1075,1100110000100000,5
1076,0010110000100000,4
1077,1010110000100000,5
1078,0110110000100000,5
1079,1110110000100000,6
1080,0001110000100000,4
1081,1001110000100000,5
1082,0101110000100000,5
1083,1101110000100000,6
1084,0011110000100000,5
1085,1011110000100000,6
1086,0111110000100000,6
1087,1111110000100000,7
1088,0000001000100000,2
1089,1000001000100000,3
1090,0100001000100000,3
1091,1100001000100000,4
1092,0010001000100000,3
1093,1010001000100000,4
1094,0110001000100000,4
1095,1110001000100000,5
1096,0001001000100000,3
1097,1001001000100000,4
1098,0101001000100000,4
1099,1101001000100000,5
1100,0011001000100000,4
1101,1011001000100000,5
1102,0111001000100000,5
1103,1111001000100000,6
1104,0000101000100000,3
1105,1000101000100000,4
1106,0100101000100000,4
1107,1100101000100000,5
1108,0010101000100000,4
1109,1010101000100000,5
1110,0110101000100000,5
1111,1110101000100000,6
1112,0001101000100000,4
1113,1001101000100000,5
1114,0101101000100000,5
1115,1101101000100000,6
1116,0011101000100000,5
1117,1011101000100000,6
1118,0111101000100000,6
1119,1111101000100000,7
1120,0000011000100000,3
1121,1000011000100000,4
1122,0100011000100000,4
1123,1100011000100000,5
1124,0010011000100000,4
1125,1010011000100000,5
1126,0110011000100000,5
1127,1110011000100000,6
1128,0001011000100000,4
1129,1001011000100000,5
1130,0101011000100000,5
1131,1101011000100000,6
1132,0011011000100000,5
1133,1011011000100000,6
1134,0111011000100000,6
1135,1111011000100000,7
1136,0000111000100000,4
1137,1000111000100000,5
1138,0100111000100000,5
1139,1100111000100000,6
1140,0010111000100000,5
1141,1010111000100000,6
1142,0110111000100000,6
1143,1110111000100000,7
1144,0001111000100000,5
1145,1001111000100000,6
1146,0101111000100000,6
1147,1101111000100000,7
1148,0011111000100000,6
1149,1011111000100000,7
1150,0111111000100000,7
1151,1111111000100000,8
1152,0000000100100000,2
1153,1000000100100000,3
1154,0100000100100000,3
1155,1100000100100000,4
1156,0010000100100000,3
1157,1010000100100000,4
1158,0110000100100000,4
1159,1110000100100000,5
1160,0001000100100000,3
1161,1001000100100000,4
1162,0101000100100000,4
1163,1101000100100000,5
1164,0011000100100000,4
1165,1011000100100000,5
1166,0111000100100000,5
1167,1111000100100000,6
1168,0000100100100000,3
1169,1000100100100000,4
1170,0100100100100000,4
1171,1100100100100000,5
1172,0010100100100000,4
1173,1010100100100000,5
1174,0110100100100000,5
1175,1110100100100000,6
1176,0001100100100000,4
1177,1001100100100000,5
1178,0101100100100000,5
1179,1101100100100000,6
1180,0011100100100000,5
1181,1011100100100000,6
1182,0111100100100000,6
1183,1111100100100000,7
1184,0000010100100000,3
1185,1000010100100000,4
1186,0100010100100000,4
1187,1100010100100000,5
1188,0010010100100000,4
1189,1010010100100000,5
1190,0110010100100000,5
1191,1110010100100000,6
1192,0001010100100000,4
1193,1001010100100000,5
1194,0101010100100000,5
1195,1101010100100000,6
1196,0011010100100000,5
1197,1011010100100000,6
1198,0111010100100000,6
1199,1111010100100000,7
1200,0000110100100000,4
1201,1000110100100000,5
1202,0100110100100000,5
1203,1100110100100000,6
1204,0010110100100000,5
1205,1010110100100000,6
1206,0110110100100000,6
1207,1110110100100000,7
1208,0001110100100000,5
1209,1001110100100000,6
1210,0101110100100000,6
1211,1101110100100000,7
1212,0011110100100000,6
1213,1011110100100000,7
1214,0111110100100000,7
1215,1111110100100000,8
1216,0000001100100000,3
1217,1000001100100000,4
